class_name,subject,topic,question,answer,correct
IX,Science,The Fundamental Unit of Life,<p>Suppose a boy is enjoying a ride on a merry-go-round which is moving with a constant speed of 10 m/s. It implies that the boy is</p>,|At rest|Moving with no acceleration|In accelerated motion|Moving with uniform velocity,Moving with no acceleration
IX,Science,The Fundamental Unit of Life,<p>The numerical ratio of displacement to distance for a moving object is</p>,|Always less than 1|Always equal to 1|Always more than 1|Equal or less than 1,Always more than 1
IX,Science,The Fundamental Unit of Life,<p>If the displacement of an object&nbsp; is proportional to square of time, then the object moves with</p>,|Uniform velocity|Uniform acceleration|Increasing acceleration|Decreasing acceleration,Uniform velocity
IX,Science,The Fundamental Unit of Life,<p>A particle is moving in a circular path of radius r. The displacement after half a circle would be</p>,|Zero|∏ r|2 r|2 ∏ r,∏ r
IX,Science,The Fundamental Unit of Life,<p>A body is thrown vertically upward with velocity u. The greatest height h to which it will rise is</p>,|u/g|u²/ 2g|u²/g|u/2g,u/g
IX,Science,The Fundamental Unit of Life,<p>Area under a v&ndash;t graph represents a physical quantity which has the unit</p>,|m²|m|m3|m/s,m²
IX,Science,The Fundamental Unit of Life,<p>Slope of a velocity &ndash; time graph gives</p>,|The distance|The displacement|The acceleration|The speed,The displacement
IX,Science,The Fundamental Unit of Life,<p>In which of the following cases of motion, the distance moved and the magnitude of displacement are equal ?</p>,|If the car is moving on straight road.|If the car is moving on circular path.|The pendulum is moving to and fro.|The earth is revolving around the sun.,
IX,Science,The Fundamental Unit of Life,<p>An object of mass 2kg is sliding with a constant velocity of 4 ms -1 on a frictionless horizontal table. The force required to keep the object moving with the same velocity is</p>,|32 N|0 N|2 N|8 N,32 N
IX,Science,The Fundamental Unit of Life,<p>Rocket works on the principle of conservation of</p>,|Mass|Energy|Momentum|Velocity,Energy
IX,Science,The Fundamental Unit of Life,<p>A water tanker filled up to 2/3 of its height is moving with a uniform speed. On sudden application of the brake, the water in the tank would</p>,|Move backward|Move forward|Be unaffected|Rise upwards,Move backward
IX,Science,The Fundamental Unit of Life,<p>Two objects of different masses falling freely near the surface of moon would <br /><br /></p>,|Have same velocities at any instant|Have different accelerations|Experience forces of same magnitude|Undergo a change in their inertia,
IX,Science,The Fundamental Unit of Life,<p>The value of acceleration due to gravity<br /><br /></p>,|Is same on equator and poles|Is least on poles|Is least on equator|Increases from pole to equator,Is least on poles
IX,Science,The Fundamental Unit of Life,<p>The gravitational force between two objects is F. the masses of both objects are halved without changing distance between them, then the gravitational force would become<br /><br /></p>,|F/4|F/2|F|2F,
IX,Science,The Fundamental Unit of Life,<p>A boy is whirling a stone tied with a string in a horizontal circular path. If the string breaks, the stone<br /><br /></p>,|Will continue to move in the circular path|Will move along a straight line towards the centre of the circular path|Will move along a straight line tangential to the circular path|Will move along a st,Will move along a straight line towards the centre of the circular path
IX,Science,The Fundamental Unit of Life,<p>An object is put one by one in three liquids having different densities. The object floats with 1/9, 2/11 and 3/7 parts of their volumes outside the liquid surface in liquids of densities d₁, d�,|d₁ > d₂ > d₃|d₁  > d₂ < d₃|d₁  < d₂  > d₃|d₁  < d₂ < d₃,d₁  < d₂  > d₃
IX,Science,The Fundamental Unit of Life,<p>In the relation F = G M m/d&sup2;, the quantity G<br /><br /></p>,|Depends on the value of g at the place of observation|Is used only when the earth is one of the two masses|Is greatest at the surface of the earth|Is universal constant of the nature,Is greatest at the surface of the earth
IX,Science,The Fundamental Unit of Life,<p>Law of gravitation gives the gravitational force between<br /><br /></p>,|The earth and a point mass only|The earth and sun only|Any two bodies having some mass|Two charged bodies only,The earth and sun only
IX,Science,The Fundamental Unit of Life,<p>The value of quantity G in the law of gravitation<br /><br /></p>,|Depends on mass of earth only|Depends on radius of earth only|Depends on both mass and radius of earth only|Is independent of mass and radius of earth,Depends on both mass and radius of earth only
IX,Science,The Fundamental Unit of Life,<p>Two particles are placed at some distance. If the mass of each of the two particles is doubled, keeping the distance between them unchanged, the value of gravitational force between them will be<br,|¼ times|4 times|½ times|Unchanged,¼ times
